Team ID,Team Name,Deck 1,Deck 2,Deck 3,Deck 4
34093676,St. Edward's Varsity,AAECAZfDAx5LogT8BJAH/wf4DPkMnfACm/MC9PUCkvgCjvsCnvsCs/wCoIADgYcD7IkDkp8Dn6ED/KMDhKcDgqgD8qgD9agD2a0D360D/bADkbED/7QDn7cDAAA=,AAECAZICBiSKB67SAvX8AvihA/atAwxAVl/+AcQGv/ICqaIDyKID76ID2akD+bUDxrcDAA==,AAECAZ8FBK8E8gWggAOftwMNzwavB5j7Avb9Atb+Atf+Atn+AuH+AsyBA8WhA4euA+qwA+ywAwA=,AAECAafDAwjWCqCAA42CA9aZA5ObA5ibA9msA8jAAwuXhwOClAOZmwOhoQOvpQPRpQOZqQOfqQPyrAPNrwP9sAMA
34094247,Durham Lords E-sports,AAECAR8EhwSvBMkEh7ADDccD4QSXCO/xAoqtA4utA/muA/uvA/yvA/6vA/+wA4exA6+3AwA=,AAECAf0EHk2KAbsCyQOrBMUEywThB+wHjQjO7wLG+AKggAPoiQODlgOfmwOgmwOKngOhoQP8owOLpAOSpAPypQP6rAPwrwOHsQORsQOMtgPhtgOftwMAAA==,AAECAaIHCrICrwTdCK+RA5KXA7muA8GuA4KxA+O0A8vAAwq0Ae0CzQOIB+/xAo+XA/WnA/6uA6qvA86vAwA=,AAECAa0GCNMK1grXCqCAA42CA9aZA5ObA92rAwuXhwOClAOYmwOZmwODoAOhoQOvpQPRpQOZqQOfqQPyrAMA
34097773,U of U Esports,AAECAZ/HAgqlCdMKoIADjYIDk5sDmJsD0aUD8qUD47QDyMADCpeHA4KUA5mbA6GhA6+lA5mpA5+pA9msA/KsA/2wAwA=,AAECAaHDAwgkrtIC9fwC2KAD+KEDqaID3KID9q0DC0BWX/4BxAa/8gLIogPvogPZqQP5tQPGtwMA,AAECAaIHDLICzQOvBKCAA5KXA8GuA6qvA+O0A5u2A8O2A5+3A8vAAwm0Ae0CiAePlwP1pwO5rgP+rgPOrwOCsQMA,AAECAZfDAwSvBOO0A5+3A8XAAw0WkAPUBPsMnfAC3KkD2K0D2q0D/q4Dqq8D0q8DpLYDq7YDAA==
34098158,UPIKE Esports,AAECAYO6AgiyAq8EoIADkpcDwa4D47QDn7cDy8ADC7QB7QLNA4gHj5cD9acDua4D/q4Dqq8Dzq8DgrEDAA==,AAECAYoWAq8Eh7ADDscD4QSXCIqtA4utA/muA/uvA/yvA/6vA+ewA/+wA4exA7q2A6+3AwA=,AAECAf0EHk2KAckDqwTFBMsE7AeNCM7vAu72AqCAA4OWA5+bA6CbA4qeA6GhA/yjA5KkA/KlA4SnA/qsA/CvA4iwA+ewA4exA5GxA4i2A4y2A+G2A5+3AwAA,AAECAaPLAwadApADrwTjtAOftwPFwAMMFhyd8AKz/AL0pwPcqQPYrQParQP+rgOqrwPSrwOrtgMA
34098611,UNT Mean Green,AAECAa/XAwbHA4cErwTv8QKHsAPnsAMM4QSXCIqtA4utA/muA/uvA/yvA/6vA/+wA4exA7q2A6+3AwA=,AAECAaIHBrICrwSSlwPBrgPjtAPLwAMMtAHtAs0DiAfdCI+XA/WnA7muA/6uA6qvA86vA4KxAwA=,AAECAYsWBK8EoIADzIEDn7cDDc8GrweY+wL2/QLW/gLX/gLZ/gLh/gLFoQOHrgPqsAPssAONtgMA,AAECAaa4Awok/gH3A67SAvX8AsX9AvihA6miA6+iA/atAwpAVl/EBsiiA9yiA++iA9mpA/m1A8a3AwA=
34104468,DePaul Esports,AAECAZvDAwiyAq8EoIADkpcDwa4D47QDn7cDy8ADC7QB7QKIB90I7/EC9acDua4D/q4Dqq8Dzq8Dm7YDAA==,AAECAaHDAwSvBKCAA4iwA5+3Aw1A4QTOlAPSpQPZqQP7rQOMrgPerwPnsAP/sAOFsQOHsQP/tQMA,AAECAZ/DAwKvBIewAw7HA8kE4QSXCIqtA4utA/muA/uvA/yvA/6vA/+wA4exA7q2A6+3AwA=,AAECAaXDAx6KAckDqwTFBMsE4QfsB40IvuwCzu8C7vYCxvgCoIAD6IkDg5YDn5sDoJsDip4DwqED/KMDi6QDkqQDhKcD9awD+qwD8K8DkbEDjLYD4bYDn7cDAAA=
34104471,Lourdes Varsity,AAECAZICBiSu0gL1/ALYoAP4oQP2rQMMQFZf/gH3A8QGv/ICqaIDyKID76ID2akD+bUDAA==,AAECAa/XAx6oArUDrwThBJcI2wmggAOghQO2nAP8owPkpAOmpQPSpQOEpwOKrQOLrQOOrQP5rgP8rwP+rwOHsAP/sAOCsQORsQPYsgOEtgO6tgPDtgOftwOvtwMAAA==,AAECAaIHCLICrwSggAOSlwPBrgPjtAOftwPLwAMLtAHtAs0DiAePlwP1pwO5rgP+rgOqrwPOrwOCsQMA,AAECAaPLAwLjtAPFwAMOFhyQA9QEnfAC3KkD2K0D2q0D/q4Dqq8D0q8DpLYDq7YDurYDAA==
34104807,Akron Zips Varsity,AAECAR8eqAK1A68E4QSXCNsJoIADoIUDtpwD/KMD5KQDpqUD0qUDhKcDiq0Di60Djq0D+a4D/K8D/q8Dh7AD/7ADgrEDkbED2LIDhLYDurYDw7YDn7cDr7cDAAA=,AAECAaIHCLICrwSggAOSlwPBrgPjtAOftwPLwAMLtAHtAs0DiAePlwP1pwO5rgP+rgOqrwPOrwOCsQMA,AAECAc2xAh6KAckDqwTFBMsEjQi+7ALO7wLu9gLG+AKggAPoiQODlgOfmwOgmwOKngOhoQPCoQP8owOLpAOSpAPypQOEpwP6rAPwrwORsQOEtgOMtgPhtgOftwMAAA==,AAECAQcErwSz/ALjtAPFwAMNFpAD1AT7DJ3wAtypA9itA9qtA/6uA6qvA9KvA6S2A6u2AwA=
34120842,Full Sail Armada,AAECAa/XAwTHA4cErwSHsAMN4QSXCIqtA4utA/muA/uvA/yvA/6vA+ewA/+wA4exA7q2A6+3AwA=,AAECAZ/HAgiggAONggOWigOTmwOGnQODoAPdqwPZrAML1gqXhwOClAOYmwOZmwOhoQOvpQPRpQOZqQOfqQPyrAMA,AAECAYO6AgayAq8EkpcDwa4D47QDy8ADDLQB7QLNA4gH3QiPlwP1pwO5rgP+rgOqrwPOrwOCsQMA,AAECAbSKAwSvBI3wAqCAA5+3Aw1A4QTSpQPZqQP7rQP9rQOMrgPerwPnsAP/sAOFsQOHsQP/tQMA
34120845,Miami University OH Varsity,AAECAbSKAwSvBKCAA/2wA5+3Aw1A4QTSpQPZqQP7rQP9rQOMrgPerwPnsAP/sAOFsQOHsQP/tQMA,AAECAaIHCLICrwSggAOSlwPBrgPjtAOftwPLwAMLtAHtAs0DiAePlwP1pwO5rgP+rgOqrwPOrwOCsQMA,AAECAQcErwT7DOO0A8XAAw0WHJAD1ASd8ALcqQPYrQParQP+rgOqrwPSrwOktgOrtgMA,AAECAR8CrwTbCQ7HA+EElwjv8QKKrQOLrQP5rgP7rwP8rwP+rwP/sAOHsQO6tgOvtwMA
